0,5584
0,7711
0,3928
1,0201
0,4836
0,8726
0,4259
0,7330
0,4379
0,5590
0,4300
0,4840
0,6054
1,0090
0,4958
1,4433
0,5329
1,2861
0,5547
0,9000
0,4806
0,6927
0,5057
0,5429
0,6698
0,9309
0,4333
1,3067
0,5578
1,1449
0,5168
1,0082
0,5757
0,7353
0,5545
0,5707
0,7114
0,8953
0,5067
1,4455
0,6011
1,2061
0,6039
1,0486
0,6648
0,7867
0,5938
0,6339
0,8006
0,9643
0,6191
2,1478
0,6711
1,7042
0,5801
1,3966
0,5971
0,9248
0,5913
0,6548
0,8157
1,1912
0,5527
2,3370
0,6928
1,9121
0,6591
1,6037
0,6515
1,0945
0,6616
0,7163
0,9095
1,4613
0,6329
2,6728
0,8141
2,2312
0,7354
1,8672
0,8163
1,1852
0,7840
0,8382
1,2380
1,6538
0,6457
0,9740
2,2288
2,1163
1,0072
1,9618
0,8271
1,2183
0,8412
0,9110
1,2450
1,5720
0,7512
2,4876
0,7957
2,4146
0,8956
1,7659
0,8219
1,2536
0,8627
0,8888
1,2082
1,4602
0,7433
3,1520
0,7702
2,6896
0,8406
2,4907
0,8089
1,4316
0,8567
0,9165
1,2902
1,8940
0,7559
2,1533
0,8109
1,8760
0,9192
1,8569
0,8876
1,2149
0,9301
0,9831
1,4831
1,5069
0,8463
3,6474
0,9432
3,6578
1,0388
1,2378
1,0870
1,0834
1,0330
1,0996
1,5295
1,9007
0,9330
5,9755
0,9607
5,7148
1,0391
1,3386
1,0692
1,0435
1,1059
1,1417
1,6833
2,8062
0,9730
4,9588
1,0942
4,8415
1,1685
1,4656
1,2538
1,1247
1,1532
1,0833
1,6653
2,6174
1,0535
2,9370
1,0772
2,6901
1,1892
1,3503
1,3483
1,2625
1,1492
1,1969
1,7488
1,5570
1,0897
3,0338
1,2882
2,7234
1,2274
1,4482
1,4642
1,4655
1,2368
1,2459
1,8333
1,4321
1,0654
2,9030
1,2101
2,6970
1,2419
1,3979
1,4206
1,3564
1,2126
1,3030
1,8853
1,7614
1,3207
3,6472
1,5866
3,5942
1,5148
1,7521
1,8650
1,7139
1,5552
1,6014
2,2243
1,9689
1,4128
3,9672
1,7647
3,8595
1,6892
2,0876
2,0597
1,9393
1,6778
3,0336
2,2456
2,1874
1,5298
3,8919
2,1213
3,9831
1,8588
2,1389
2,2031
1,9928
1,8408
1,9498
2,6597
2,3281
1,5968
2,7988
2,1283
3,5279
1,6261
1,9415
2,0144
2,0265
2,1292
1,9663
2,5447
2,1070
1,6550
3,5828
2,1017
3,3567
1,9375
2,2338
2,3163
2,1997
2,2791
2,4314
